Etiquetas de fila,Transecto,Sector,Marea,Actinociclus sp,Actinocyclus senarius,aff Dactiliosolen,aff Surriliella,Alexandrium sp,Asteromphalus sp,Aulacodiscus archangelskianus,Aulacodiscus kittonii,Bacillaria paxillifer,Bacteriastrum delicatulum,Bacteriastrum furcatum,Bacteriastrum hyalinum,Central desconocida,Cerataulina bicornis,Cerataulina dentata,Cerataulina pelagica,Cerataulina sp,Ceratocorys horrida,Chaetoceros aff paradoxus,Chaetoceros affinis,Chaetoceros brevis,Chaetoceros brevis complex,Chaetoceros coarctatus,Chaetoceros compressus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros denticulatus,Chaetoceros diversus,Chaetoceros laciniosus,Chaetoceros lorenzianus,Chaetoceros paradoxus,Chaetoceros peruvianus,Chaetoceros protuberans,Chaetoceros pseudocurvisetus,Chaetoceros radicans,Chaetoceros sp 1,Chaetoceros sp 2,Chaetoceros sp 3,Chaetoceros subtilis,Chetoceros diversus,Cianobacteria,Climacodiun frauenefeldianum,Coscinodicus sp 2,Coscinodiscopsis jonesiana,Coscinodiscus asteromphalus,Coscinodiscus centralis,Coscinodiscus gigas,Coscinodiscus granii,Coscinodiscus marginatus,Coscinodiscus perforatus,Coscinodiscus radiatus,Coscinodiscus sp 1,Coscinodiscus sp 2,Coscinodiscus sp 3,Coscinodiscus wailesii,Coscinodiscus wailesii-gigas,Coscinodisus gigas,Cyclotella striata,Dactyliosolen sp,Diatomea central pequeña,Diatomea pennada,Dinoflagelado circular,Dinoflageladodesnudo,Dinoflagelados 1,Dinophysis caudata,Diploneis gruendleri,Ditylum,Ditylum brightwellii,Entomoneis sp,Eucampia zodiacus,Gonyalacaceae,Gonyaulax polygramma,Gonyaulax sp,Guinardia delicatula,Guinardia flaccida,Guinardia sp,Guinardia striata,Gyrodinium spirale,Gyrosigma sp,Gyrosigma sp 2,Hemiaulus hauckii,Hemiaulus membranaceus,Hemiaulus sinensis,Hemiaulus sp,Hobaniella longicruris,Leptocilindrus danicus,Leptocilindrus sp,Lioloma elongatum,Lioloma pacificum,Lithodesmium undulatum,Lyrella sp,Melosira sp,Meuniera membranacea,Navicula sp,Neocalyptrella robusta,Neodelphineis pelagica,Nepcalliptrella robusta,Nitzschia closterium,Nitzschia sigmaformis,Nitzschia sigmoidea,Nitzschia sp,Odontella aurita,Ornitocercus sp,Ornitocercus stenii,Ornitocercus thumii,Phaeodactylum,Phalacorma sp,Phalacroma mitra,Phalacroma rapa,Phalacroma sp,Plagiotropis sp,Planktoniella muriformis,Podolampas bipes,Proboscia alata,Proboscia sp,Prorocentrum cf cordatum,Prorocentrum compressum,Prorocentrum lima,Prorocentrum mexicanum,Prorocentrum rhathymum,Prorocentrum sp,Protoperidinium (circular),Protoperidinium (esperico),Protoperidinium (pentagonal -falda),Protoperidinium (pentagonal),Protoperidinium (pentagonal-falconiforma),Protoperidinium (pentagonal-falda),Protoperidinium pyriforme,Protoperidinium pyrum,Protoperidinium sp 1,Protoperidinium sp 2,Protoperidinium sp 3,Protoperidinium sp 4,Protoperidinium sp3,Pseudonitzschia sp,Pseudosolenia calcar-avis,Pseudosolenia sp,Pyrocystis sp,Pyrodinium bahamense,Pyrodinium sp,Pyrophacus sp,Rhizolenia imbricata var. Shrubsolei,Rhizosolenia bergonii,Rhizosolenia cf hebetata,Rhizosolenia imbricata,Rhizosolenia setigera,Scripsiella sp,Skeletonema costatum,Skeletonema pseudocostatum,Skeletonema tropicum,Stellarima sp,Stephanopyxis sp,Stephanopyxis turris,Streptotheca sp,Synedra sp,Thalassionema,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassionema nitzschioides/pseudo,Thalassionema sp,Thalassiosira nitzschioides,Thalassiosira sp,Thalssionema ,Trieres chinensis,Trieres mobiliensis,Trios muelleri,Tripos aff brevis,Tripos aff muelleri-brevis,Tripos arietinus,Tripos armatum,Tripos brevis,Tripos candelabrum,Tripos cf brevis,Tripos cf karsteni,Tripos cf mssiliensis,Tripos cf muelleri,Tripos cf vultur,Tripos declinatus,Tripos eugrammus,Tripos extensus,Tripos fusus,Tripos lunula,Tripos macroceros,Tripos massiliensis,Tripos muelleri,Tripos pentagonus,Tripos sp,Tripos trichoceros
A01A,Amarales,Oceanico,Alta,0,0,0,0,0,0,0,0,0,0,17,33,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,33,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17,0,0,167,0,0,0,0,0,0,0,0,0,0,50,0,0,17,0,17,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0
A01B,Amarales,Oceanico,Baja,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,50,0,0,0,33,0,0,0,0,150,100,83,0,83,0,117,0,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,67,133,0,33,17,0,117,0,17,0,0,0,0,0,0,0,0,0,33,0,0,50,0,0,17,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,83,0,0,0,0,0,17,0,183,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,17,2267,0,817,0,0,0,0,0,0,0,100,0,0,0,0,0,117,0,0,0,0,17,0,0,0,0,0,0,0,0,0,100,0,33,0,0,33,233,0,0,0
A02A,Amarales,Oceanico,Alta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,133,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,67,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,200,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,0,50,50,0,0,0
A02B,Amarales,Oceanico,Baja,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,117,0,0,0,67,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,83,250,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,67,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,17,0,0,0,100,0,0,0,0,0,33,0,0,0,50,0,0,2650,0,650,0,0,0,0,0,0,0,33,0,0,0,0,0,267,50,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0
A03A,Amarales,Oceanico,Alta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,17,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,17,117,0,0,0,0,0,0,33,50,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0
A03B,Amarales,Oceanico,Baja,0,33,0,0,0,0,0,0,183,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383,0,0,133,0,33,0,200,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1283,0,0,0,0,0,0,0,0,0,0,0,0,17,0,50,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,583,0,117,0,0,0,67,0,0,83,33,0,67,0,0,0,83,117,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
A04A,Amarales,Costero,Alta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,33,0,50,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A04B,Amarales,Costero,Baja,0,17,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,67,0,50,0,0,0,233,0,0,0,0,0,0,0,267,33,0,0,67,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,133,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,200,67,0,50,0,33,0,333,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
A05A,Amarales,Costero,Alta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,67,0,0,17,0,0,33,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,17,0,0,0,0,0,0,33,0,0,0,0,0,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
A05B,Amarales,Costero,Baja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,83,0,0,67,67,100,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,33,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,33,0,0,17,0,67,0,83,100,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0
A06A,Amarales,Costero,Alta,0,83,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,50,0,0,233,0,83,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,0,17,67,0,0,0,0,0,17,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,100,17,0,0,0,0,4133,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3867,0,0,0,0,0,117,0,0,583,133,0,17,0,33,0,533,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
A06B,Amarales,Costero,Baja,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,33,0,50,0,50,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,17,50,0,0,0,0,17,0,83,33,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
G01A,Guascama,Oceanico,Alta,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,17,17,0,0,383,0,0,0,0,0,150,0,0,433,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17,0,0,0,0,0,0,33,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,33,0,0,0,0,67,0,0,0,0,0,17,0,0,0,67,0,0,533,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
