Especie,Marea,Sector,Transecto,Achirus_sp1,Achiridae_sp1 ,Seriola_lalandi,Chloroscombrus_orqueta,Anchoa_sp1  ,Anchoa_sp2,Cetengraulis_mysticetus,Gerreidae_sp1 ,Gobiesox_sp1,Gobiidae_sp7,Gobulus_sp1,Gobiidae_sp8,Haemulidae_sp1,Kyphosidae_sp1,Paralichthyidae_sp1, Larimus_sp4,Menticirrhus_sp1,Larimus_sp,Stellifer_sp2,Cynoscion_sp1,Cynoscion_sp,Sciaenidae_sp1 ,Stellifer_sp1,Menticirrhus_sp2,Larimus_sp1,Stellifer_sp3,Isopisthus_remifer,Scomber_ japonicus,Scomber_sp1,Scombridae_sp1,Serranidae_sp1,Hemanthias_sp1,Sphoeroides_lobatus,NO_ID
S06B,Baja,Costero,Sanquianga,0.0,0.0,0.0,0.0,0.0,0.0,1636.6,0.0,0.0,327.3,36660.0,327.3,0.0,327.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.6,0.0,0.0,654.6,0.0,0.0,0.0,0.0,0.0,327.3
S05B,Baja,Costero,Sanquianga,0.0,0.0,0.0,0.0,0.0,0.0,284.6,0.0,0.0,853.7,0.0,0.0,0.0,0.0,0.0,284.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S04B,Baja,Costero,Sanquianga,0.0,252.4,0.0,0.0,0.0,0.0,1009.4,0.0,0.0,252.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.4,0.0,0.0,0.0,0.0,0.0,252.4,0.0,0.0,0.0,0.0,0.0,3533.0
S03B,Baja,Oceanico,Sanquianga,0.0,0.0,714.3,0.0,0.0,0.0,4285.6,0.0,0.0,0.0,0.0,0.0,238.1,0.0,0.0,0.0,238.1,238.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.3,0.0,0.0,0.0,0.0,0.0,476.2
G06B,Baja,Costero,Guascama,0.0,0.0,0.0,0.0,825.4,0.0,8584.5,0.0,165.1,0.0,330.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.5,0.0,0.0,0.0,165.1,0.0,0.0,0.0,0.0,660.3,0.0,0.0,330.2,0.0,0.0,1155.6
G05B,Baja,Costero,Guascama,0.0,0.0,0.0,0.0,0.0,0.0,24789.4,0.0,159.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.7,159.9,4318.2,799.7,0.0,319.9,0.0,0.0,319.9,0.0,0.0,0.0,0.0,0.0,1599.3
G04B,Baja,Costero,Guascama,0.0,0.0,0.0,0.0,0.0,310.2,10235.9,0.0,0.0,0.0,4032.3,0.0,2016.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1861.1,0.0,0.0,155.1,0.0,0.0,1085.6,0.0,0.0,0.0,0.0,0.0,3412.0
G03B,Baja,Oceanico,Guascama,0.0,179.5,0.0,0.0,0.0,0.0,27997.1,179.5,358.9,0.0,717.9,0.0,1076.8,0.0,1076.8,0.0,0.0,0.0,0.0,0.0,0.0,358.9,179.5,0.0,0.0,0.0,0.0,717.9,0.0,0.0,0.0,0.0,0.0,1435.7
G02B,Baja,Oceanico,Guascama,0.0,357.9,0.0,0.0,0.0,179.0,4295.0,0.0,0.0,0.0,357.9,0.0,2863.4,0.0,179.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,179.0,0.0
G01B,Baja,Oceanico,Guascama,0.0,0.0,0.0,167.3,0.0,0.0,4850.9,0.0,0.0,167.3,0.0,0.0,0.0,0.0,167.3,0.0,0.0,0.0,0.0,0.0,0.0,334.5,334.5,0.0,0.0,167.3,0.0,167.3,0.0,167.3,0.0,0.0,0.0,1338.2
A06B,Baja,Costero,Amarales,0.0,0.0,0.0,268.8,0.0,0.0,4838.8,268.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.6,0.0,0.0,0.0,0.0,0.0,268.8,0.0,0.0
A05B,Baja,Costero,Amarales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2401.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.9,0.0,0.0,0.0,0.0,184.7,369.4,0.0,0.0,0.0,0.0,0.0,0.0
A04B,Baja,Costero,Amarales,0.0,0.0,455.6,0.0,0.0,0.0,2277.9,0.0,0.0,0.0,0.0,0.0,151.9,0.0,0.0,0.0,151.9,151.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A03B,Baja,Oceanico,Amarales,0.0,0.0,0.0,0.0,905.9,0.0,9421.6,0.0,181.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2174.2,0.0,0.0,0.0,0.0,0.0,0.0
S02B,Baja,Oceanico,Sanquianga,0.0,0.0,728.2,0.0,0.0,0.0,4005.2,0.0,182.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.3,182.1,4915.5,0.0,0.0,0.0,0.0,0.0,182.1,0.0,0.0,0.0,0.0,0.0,0.0
S01B,Baja,Oceanico,Sanquianga,0.0,0.0,0.0,0.0,0.0,391.6,12921.7,0.0,0.0,0.0,5090.4,0.0,2545.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2349.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02B,Baja,Oceanico,Amarales,0.0,0.0,979.9,0.0,0.0,0.0,6271.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,783.9
A01B,Baja,Oceanico,Amarales,0.0,0.0,0.0,0.0,0.0,0.0,3810.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.1,0.0,0.0,0.0,1524.3,0.0,0.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0
S06A,Alta,Costero,Sanquianga,0.0,0.0,0.0,0.0,0.0,0.0,287.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.3,0.0,574.3,0.0,0.0,0.0,0.0,0.0,0.0,287.1
S05A,Alta,Costero,Sanquianga,0.0,0.0,0.0,0.0,0.0,0.0,555.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S04A,Alta,Costero,Sanquianga,263.2,263.2,0.0,263.2,0.0,0.0,1052.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.2,0.0,0.0,0.0,0.0,0.0,0.0,3685.1
S03A,Alta,Oceanico,Sanquianga,0.0,0.0,0.0,0.0,0.0,0.0,5436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.1,247.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.3,0.0,0.0,0.0,0.0,0.0,0.0,494.2
G06A,Alta,Costero,Guascama,455.0,0.0,0.0,0.0,1137.6,0.0,682.5,0.0,227.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.1,0.0,0.0,0.0,227.5,0.0,0.0,0.0,910.1,0.0,0.0,455.0,0.0,0.0,0.0,4550.3
G05A,Alta,Costero,Guascama,277.3,0.0,0.0,0.0,0.0,0.0,17052.5,0.0,138.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.2,138.6,0.0,693.2,0.0,277.3,0.0,0.0,0.0,0.0,0.0,0.0,277.3,0.0,1386.4
G04A,Alta,Costero,Guascama,148.8,0.0,0.0,0.0,0.0,297.5,9818.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.8,0.0,0.0,297.5,0.0,0.0,0.0,0.0,0.0,4314.0
G03A,Alta,Oceanico,Guascama,0.0,186.7,0.0,0.0,0.0,0.0,29128.0,186.7,373.4,0.0,0.0,0.0,0.0,0.0,1120.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.7,0.0,0.0,0.0,746.9,0.0,0.0,0.0,0.0,186.7,0.0,373.4
G02A,Alta,Oceanico,Guascama,0.0,307.4,0.0,0.0,0.0,153.7,3688.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.7,0.0,0.0,0.0,0.0,153.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.7,0.0,0.0,0.0,153.7,153.7
G01A,Alta,Oceanico,Guascama,0.0,0.0,0.0,0.0,0.0,0.0,5362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.8,0.0,0.0,184.9,184.9,0.0,184.9,0.0,0.0,0.0,0.0,1479.2
A06A,Alta,Costero,Amarales,0.0,0.0,0.0,0.0,0.0,0.0,1698.9,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.1,0.0,0.0,0.0,0.0,94.4,0.0,0.0,0.0
A05A,Alta,Costero,Amarales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.3,0.0,0.0,0.0,0.0,0.0,0.0,2814.6
A04A,Alta,Costero,Amarales,0.0,0.0,0.0,0.0,0.0,0.0,2848.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.9,189.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A03A,Alta,Oceanico,Amarales,0.0,0.0,0.0,0.0,942.9,0.0,2262.9,0.0,188.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.5,0.0,0.0,0.0,0.0,377.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S02A,Alta,Oceanico,Sanquianga,0.0,0.0,0.0,0.0,0.0,0.0,6912.1,0.0,160.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.7,160.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.7,0.0,321.5
S01A,Alta,Oceanico,Sanquianga,0.0,0.0,0.0,0.0,0.0,365.2,12050.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.6,0.0,547.7
A02A,Alta,Oceanico,Amarales,0.0,0.0,0.0,0.0,0.0,0.0,550.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A01A,Alta,Oceanico,Amarales,0.0,0.0,0.0,0.0,0.0,0.0,1846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.7,0.0,0.0,0.0,923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.7
