"","A01A","A01B","A02A","A02B","A03A","A03B","A04A","A04B","A05A","A05B","A06A","A06B","G01A","G01B","G02A","G02B","G03A","G03B","G04A","G04B","G05A","G05B","G06A","G06B","S01A","S01B","S02A","S02B","S03A","S03B","S04A","S04B","S05A","S05B","S06A","S06B"
"A01A",0,0.627112040616133,0.477417819142606,0.624665239043309,0.58879494326967,0.689146592559092,0.681172630887777,0.582684450756943,0.60835304723881,0.63800521337119,0.622823650723842,0.658772657626415,0.512628100887627,0.42816448857362,0.73720413111941,0.626239960996756,0.525827362674855,0.421758996447564,0.78265723453783,0.699113764452072,0.653659202411914,0.65958286175455,0.602518135188837,0.744775972736602,0.604139284721076,0.523964337660939,0.695151979458615,0.622979087187122,0.626163720565985,0.666738197608542,0.622194364181484,0.648885346701956,0.683702323382772,0.64542472734556,0.674280518272929,0.701910274597979
"A01B",0.627112040616133,0,0.631238308369587,0.265617380385533,0.530001857700167,0.658093686411571,0.566413481996081,0.51956305609167,0.523110066889509,0.657023723750339,0.586100588848309,0.784493618257213,0.647273200707719,0.418200741959412,0.485539157215057,0.438531779865995,0.513520445022396,0.635742554820934,0.814390409146051,0.428968023113701,0.619170133172329,0.432706394090461,0.432075313765428,0.513645276943494,0.462582211609851,0.66802433587219,0.522646853274826,0.39312767044399,0.477152116902903,0.413765317483444,0.468189136892775,0.397646319994899,0.419059129170125,0.449894537213831,0.420259561382648,0.323028128085991
"A02A",0.477417819142606,0.631238308369587,0,0.642583647662207,0.748466105888174,0.72906976744186,0.505857832382624,0.666095883965596,0.671215154782073,0.722384963986873,0.731019782103625,0.760486201133897,0.586156436396694,0.605522581341391,0.688175696739198,0.600702345600747,0.6671834625323,0.427224179309764,0.708203316651948,0.713461706592061,0.55787338585543,0.696518459814719,0.572860718697086,0.758576849978165,0.601186387352193,0.495379436964504,0.714755039481808,0.655840380549683,0.649230530206391,0.706433265925177,0.654091376826508,0.687339170221549,0.712659738791833,0.606470450748957,0.726322774631811,0.695141028909232
"A02B",0.624665239043309,0.265617380385533,0.642583647662207,0,0.429515587113219,0.626543829656364,0.572589771251183,0.461095762461025,0.559395936850402,0.662876684565191,0.576446192912743,0.726261350251906,0.658271891213354,0.437024919208628,0.420954803161266,0.481818925025684,0.573275638532348,0.58158720814094,0.88819550093792,0.354146378197536,0.670349742563876,0.355044126364709,0.409918087141229,0.464932546208699,0.39660057961558,0.695867366783353,0.447172494903475,0.424832705703476,0.395775585194813,0.356362092492933,0.522138006285217,0.330843900101036,0.453097115742796,0.491966605397546,0.387885027735355,0.396911452773696
"A03A",0.58879494326967,0.530001857700167,0.748466105888174,0.429515587113219,0,0.70035048655781,0.643352736518132,0.455062255231142,0.52934925555399,0.662826503247161,0.534646697071631,0.71646507008845,0.761069006781013,0.502963995984927,0.487156085410606,0.626007356756922,0.587115839243499,0.649682520319984,0.954289732770745,0.328747400415933,0.733632676374215,0.400958196864765,0.487093782663903,0.39635045327421,0.372934107318477,0.781578947368421,0.37883389985036,0.509090909090909,0.392169404793967,0.349695497995683,0.590619469026549,0.360999202652231,0.514034606203867,0.71461107162848,0.458540848768996,0.616991385443821
"A03B",0.689146592559092,0.658093686411571,0.72906976744186,0.626543829656364,0.70035048655781,0,0.709883720930233,0.650503447280757,0.711635607577391,0.580005078774275,0.328605478236679,0.647475479094757,0.764675304496248,0.677190012410295,0.79217714113515,0.636748023088986,0.792151162790698,0.611326332262003,0.932111258299807,0.675708165763245,0.64971726404865,0.68886558449248,0.626920363356756,0.802091623970526,0.756668676752052,0.743604651162791,0.815618737881955,0.669688160676533,0.79123777516109,0.663642373804153,0.786686046511628,0.600410244942892,0.633116647173835,0.727627793550516,0.653446996937643,0.649500929329044
"A04A",0.681172630887777,0.566413481996081,0.505857832382624,0.572589771251183,0.643352736518132,0.709883720930233,0,0.57731879005044,0.5915937773335,0.731265199801754,0.59626667642699,0.774042348289976,0.747905863581971,0.541754585649871,0.664897904125989,0.579713597357949,0.626415094339623,0.537705104701609,0.880070588859698,0.6322811746347,0.589635252936002,0.591778078324428,0.478095155927501,0.669204513131696,0.556578247644168,0.498237338629593,0.63322934151207,0.554974271012007,0.640203142000371,0.626069208683032,0.666615461679746,0.631503991291727,0.633065387489989,0.699341323710673,0.643069331798036,0.616295739728932
"A04B",0.582684450756943,0.51956305609167,0.666095883965596,0.461095762461025,0.455062255231142,0.650503447280757,0.57731879005044,0,0.48779783012986,0.554436957338878,0.391708946932478,0.616891010653977,0.651638589720566,0.442767398732066,0.478876038931249,0.445045706308473,0.470257470850943,0.601143280609407,0.857786443483022,0.487640947864671,0.565815745799085,0.36930914095151,0.367564202717127,0.553704482830434,0.554673370012977,0.687972257322562,0.619037310170753,0.530558740221203,0.540108717798122,0.442744304141221,0.442701800707105,0.426547288593625,0.440040622876861,0.538511995385295,0.430466099793342,0.427571989720601
"A05A",0.60835304723881,0.523110066889509,0.671215154782073,0.559395936850402,0.52934925555399,0.711635607577391,0.5915937773335,0.48779783012986,0,0.386599517773993,0.531201356192042,0.505684623219281,0.714205852751369,0.499898203776832,0.61251250229332,0.582015401864186,0.547185430463576,0.583610770282207,0.827453637726921,0.438525950638185,0.57209625213499,0.442994282794167,0.440662612714393,0.590170703640195,0.509717255127411,0.689238410596026,0.568955372813444,0.540066225165563,0.560205754417339,0.467801750869344,0.561672038914611,0.457852482464046,0.500172527146977,0.658988847627307,0.470675506634497,0.533607066161761
"A05B",0.63800521337119,0.657023723750339,0.722384963986873,0.662876684565191,0.662826503247161,0.580005078774275,0.731265199801754,0.554436957338878,0.386599517773993,0,0.587788434324971,0.310076582784033,0.753791278129241,0.643740601263984,0.747376491904424,0.596674244887549,0.726023213194869,0.625104838361827,0.857771712001045,0.647733509858948,0.580895333081442,0.563359168044303,0.600002234641193,0.748311454064846,0.742702402654511,0.700638202102691,0.78686701536061,0.686453879047037,0.767746478026165,0.609459180264903,0.731002319157102,0.594491678203381,0.579170583301527,0.719125199463847,0.57220676307785,0.631197660524677
"A06A",0.622823650723842,0.586100588848309,0.731019782103625,0.576446192912743,0.534646697071631,0.328605478236679,0.59626667642699,0.391708946932478,0.531201356192042,0.587788434324971,0,0.651525184036312,0.719361926276648,0.55227300175608,0.625373475867413,0.568707003039677,0.571855803427094,0.633080304173518,0.894161445267045,0.583076416793682,0.648722342941048,0.506489674003274,0.498723588000499,0.638865794249379,0.617486352242453,0.744333979954737,0.661946435834572,0.613809408341416,0.622331152009233,0.512294862603765,0.621756406845031,0.527817633633496,0.538345951928228,0.658189437134513,0.522682831274785,0.552179743074985
"A06B",0.658772657626415,0.784493618257213,0.760486201133897,0.726261350251906,0.71646507008845,0.647475479094757,0.774042348289976,0.616891010653977,0.505684623219281,0.310076582784033,0.651525184036312,0,0.834318441607287,0.702481383198366,0.844122912679279,0.732679053373712,0.799410491754347,0.683369655486037,0.949423290723628,0.786884311180907,0.728610286980078,0.707904710269881,0.708548939142645,0.8441978369455,0.810775071304561,0.810275352585628,0.856485676829587,0.785644728005373,0.845546312905045,0.742794217236322,0.843476586412452,0.727535457258555,0.764031474094503,0.817739588790553,0.714593803027558,0.793765305221968
"G01A",0.512628100887627,0.647273200707719,0.586156436396694,0.658271891213354,0.761069006781013,0.764675304496248,0.747905863581971,0.651638589720566,0.714205852751369,0.753791278129241,0.719361926276648,0.834318441607287,0,0.641933676193896,0.554086448917116,0.636396568803906,0.537294464388601,0.531386950575805,0.641675600863293,0.709776160584949,0.644119517194048,0.634835074404281,0.632558277554469,0.673298314046246,0.663914882747698,0.516462326538324,0.744628593733541,0.703228460311129,0.563834133624165,0.619013876530331,0.409356244991899,0.647557180132316,0.654455412384146,0.407352879274714,0.690051880946742,0.646093947907425
"G01B",0.42816448857362,0.418200741959412,0.605522581341391,0.437024919208628,0.502963995984927,0.677190012410295,0.541754585649871,0.442767398732066,0.499898203776832,0.643740601263984,0.55227300175608,0.702481383198366,0.641933676193896,0,0.485116289195897,0.545920201593172,0.461401134312967,0.555605341607775,0.811927907819123,0.487694366426507,0.60448343529693,0.468899470437854,0.432415310776744,0.506301657266673,0.370244208037207,0.611952008792282,0.50783535435513,0.358903712296984,0.454961558668716,0.489233979855512,0.47445804159908,0.447995750902676,0.483195468147668,0.641662488777997,0.49530807436948,0.551982926498696
"G02A",0.73720413111941,0.485539157215057,0.688175696739198,0.420954803161266,0.487156085410606,0.79217714113515,0.664897904125989,0.478876038931249,0.61251250229332,0.747376491904424,0.625373475867413,0.844122912679279,0.554086448917116,0.485116289195897,0,0.583448405845043,0.519295501936253,0.733873355542576,0.80876159017809,0.441202285203626,0.653804968745383,0.366791316319233,0.463279358831578,0.419418242617065,0.453694664164029,0.686799774234514,0.471815526621722,0.478242546104476,0.420270038423396,0.388212981310953,0.399835346034307,0.415726577248283,0.493714273944592,0.497244673665336,0.444588079560372,0.529230902385763
"G02B",0.626239960996756,0.438531779865995,0.600702345600747,0.481818925025684,0.626007356756922,0.636748023088986,0.579713597357949,0.445045706308473,0.582015401864186,0.596674244887549,0.568707003039677,0.732679053373712,0.636396568803906,0.545920201593172,0.583448405845043,0,0.591853977363303,0.595474700176374,0.731035863969958,0.507408001711596,0.465296915047441,0.535423203129522,0.46449155745618,0.648037343707133,0.610517130106642,0.655812504719474,0.698868796271732,0.580593778531368,0.634894978882775,0.558770147262755,0.552179124185828,0.520318747718455,0.546255382546069,0.490149816514423,0.585037363546588,0.431810128404176
"G03A",0.525827362674855,0.513520445022396,0.6671834625323,0.573275638532348,0.587115839243499,0.792151162790698,0.626415094339623,0.470257470850943,0.547185430463576,0.726023213194869,0.571855803427094,0.799410491754347,0.537294464388601,0.461401134312967,0.519295501936253,0.591853977363303,0,0.689197344598672,0.848804500703235,0.539546783625731,0.646784769771401,0.470939417678548,0.486744245124477,0.53150768462194,0.537545408994112,0.694736842105263,0.599814987320809,0.574305555555556,0.475668073136428,0.509004552211074,0.409508357915438,0.535326265614727,0.545228905961484,0.558939304364962,0.569220310828953,0.556195365616762
"G03B",0.421758996447564,0.635742554820934,0.427224179309764,0.58158720814094,0.649682520319984,0.611326332262003,0.537705104701609,0.601143280609407,0.583610770282207,0.625104838361827,0.633080304173518,0.683369655486037,0.531386950575805,0.555605341607775,0.733873355542576,0.595474700176374,0.689197344598672,0,0.715371942074157,0.63451666280971,0.562159252061041,0.639419798166617,0.51293407496862,0.746402820569831,0.637331698598206,0.452090810913827,0.712526974102332,0.636479192955506,0.621081810365096,0.674145158978934,0.651677250174909,0.614487064917349,0.621377991149956,0.624719679194011,0.64109339802639,0.603023162202576
"G04A",0.78265723453783,0.814390409146051,0.708203316651948,0.88819550093792,0.954289732770745,0.932111258299807,0.880070588859698,0.857786443483022,0.827453637726921,0.857771712001045,0.894161445267045,0.949423290723628,0.641675600863293,0.811927907819123,0.80876159017809,0.731035863969958,0.848804500703235,0.715371942074157,0,0.835085472119117,0.646977924340456,0.719762966048051,0.745731490427546,0.906705970447396,0.831095984029353,0.684786068546895,0.912763172634173,0.877697065592635,0.761075949367089,0.759293019629426,0.707703969231918,0.811112775572367,0.797204080961712,0.702158305384788,0.844357976653696,0.780560273386341
"G04B",0.699113764452072,0.428968023113701,0.713461706592061,0.354146378197536,0.328747400415933,0.675708165763245,0.6322811746347,0.487640947864671,0.438525950638185,0.647733509858948,0.583076416793682,0.786884311180907,0.709776160584949,0.487694366426507,0.441202285203626,0.507408001711596,0.539546783625731,0.63451666280971,0.835085472119117,0,0.63530698689992,0.304998321302669,0.432364271124523,0.281383420863717,0.27194359913312,0.739630325814536,0.34584109610309,0.522839769879244,0.259687985787253,0.283557713263091,0.471697218710493,0.310762575818244,0.412766416190315,0.553421963866213,0.381252255151497,0.44522673236442
"G05A",0.653659202411914,0.619170133172329,0.55787338585543,0.670349742563876,0.733632676374215,0.64971726404865,0.589635252936002,0.565815745799085,0.57209625213499,0.580895333081442,0.648722342941048,0.728610286980078,0.644119517194048,0.60448343529693,0.653804968745383,0.465296915047441,0.646784769771401,0.562159252061041,0.646977924340456,0.63530698689992,0,0.524284260728315,0.436209104647398,0.720045536832482,0.646746524169533,0.554787809105418,0.714848586505173,0.648914211399947,0.676778562869473,0.55129964652308,0.64131972957922,0.612465103805928,0.617115375531028,0.643741299951878,0.639892148150206,0.593466691283775
"G05B",0.65958286175455,0.432706394090461,0.696518459814719,0.355044126364709,0.400958196864765,0.68886558449248,0.591778078324428,0.36930914095151,0.442994282794167,0.563359168044303,0.506489674003274,0.707904710269881,0.634835074404281,0.468899470437854,0.366791316319233,0.535423203129522,0.470939417678548,0.639419798166617,0.719762966048051,0.304998321302669,0.524284260728315,0,0.328111844582505,0.382368373916504,0.400891185779181,0.652279567897417,0.466294071962244,0.4714046309155,0.357320171024079,0.198054136912833,0.419639154352506,0.301733790968741,0.360074650397995,0.546038179191156,0.303859148573285,0.437834517090193
"G06A",0.602518135188837,0.432075313765428,0.572860718697086,0.409918087141229,0.487093782663903,0.626920363356756,0.478095155927501,0.367564202717127,0.440662612714393,0.600002234641193,0.498723588000499,0.708548939142645,0.632558277554469,0.432415310776744,0.463279358831578,0.46449155745618,0.486744245124477,0.51293407496862,0.745731490427546,0.432364271124523,0.436209104647398,0.328111844582505,0,0.525409551413323,0.495222943196784,0.563061628746506,0.539791226000467,0.458429196111662,0.470495734829742,0.366381864686721,0.458885385312163,0.396517801951018,0.409974809295004,0.571698002956788,0.452262974712745,0.454496012372385
"G06B",0.744775972736602,0.513645276943494,0.758576849978165,0.464932546208699,0.39635045327421,0.802091623970526,0.669204513131696,0.553704482830434,0.590170703640195,0.748311454064846,0.638865794249379,0.8441978369455,0.673298314046246,0.506301657266673,0.419418242617065,0.648037343707133,0.53150768462194,0.746402820569831,0.906705970447396,0.281383420863717,0.720045536832482,0.382368373916504,0.525409551413323,0,0.285600553649396,0.735559375826501,0.181011016891631,0.545432004520209,0.219159774741648,0.343265875009619,0.480495631394045,0.400776509846023,0.477303525314978,0.586127230580145,0.453181155967564,0.577339550608086
"S01A",0.604139284721076,0.462582211609851,0.601186387352193,0.39660057961558,0.372934107318477,0.756668676752052,0.556578247644168,0.554673370012977,0.509717255127411,0.742702402654511,0.617486352242453,0.810775071304561,0.663914882747698,0.370244208037207,0.453694664164029,0.610517130106642,0.537545408994112,0.637331698598206,0.831095984029353,0.27194359913312,0.646746524169533,0.400891185779181,0.495222943196784,0.285600553649396,0,0.629396843291995,0.280146020587181,0.461879291790509,0.220365428434157,0.358010118282286,0.501344095140226,0.387587514926319,0.530296924690789,0.662766381812904,0.459263873474324,0.590865716955315
"S01B",0.523964337660939,0.66802433587219,0.495379436964504,0.695867366783353,0.781578947368421,0.743604651162791,0.498237338629593,0.687972257322562,0.689238410596026,0.700638202102691,0.744333979954737,0.810275352585628,0.516462326538324,0.611952008792282,0.686799774234514,0.655812504719474,0.694736842105263,0.452090810913827,0.684786068546895,0.739630325814536,0.554787809105418,0.652279567897417,0.563061628746506,0.735559375826501,0.629396843291995,0,0.755600838379134,0.698235645933014,0.632668961433119,0.651410403098046,0.584410805775501,0.720710059171598,0.691784363376703,0.631859763212347,0.674989760393201,0.665470887222218
"S02A",0.695151979458615,0.522646853274826,0.714755039481808,0.447172494903475,0.37883389985036,0.815618737881955,0.63322934151207,0.619037310170753,0.568955372813444,0.78686701536061,0.661946435834572,0.856485676829587,0.744628593733541,0.50783535435513,0.471815526621722,0.698868796271732,0.599814987320809,0.712526974102332,0.912763172634173,0.34584109610309,0.714848586505173,0.466294071962244,0.539791226000467,0.181011016891631,0.280146020587181,0.755600838379134,0,0.497012215776771,0.275072354254817,0.414474998559085,0.572063344201211,0.437976273484675,0.57850099118384,0.713801754877018,0.501615381037215,0.642471426339953
"S02B",0.622979087187122,0.39312767044399,0.655840380549683,0.424832705703476,0.509090909090909,0.669688160676533,0.554974271012007,0.530558740221203,0.540066225165563,0.686453879047037,0.613809408341416,0.785644728005373,0.703228460311129,0.358903712296984,0.478242546104476,0.580593778531368,0.574305555555556,0.636479192955506,0.877697065592635,0.522839769879244,0.648914211399947,0.4714046309155,0.458429196111662,0.545432004520209,0.461879291790509,0.698235645933014,0.497012215776771,0,0.527450134253932,0.495646473092125,0.569670152855994,0.466325981710597,0.388886291812584,0.696000221696719,0.367114416745791,0.508790144051869
"S03A",0.626163720565985,0.477152116902903,0.649230530206391,0.395775585194813,0.392169404793967,0.79123777516109,0.640203142000371,0.540108717798122,0.560205754417339,0.767746478026165,0.622331152009233,0.845546312905045,0.563834133624165,0.454961558668716,0.420270038423396,0.634894978882775,0.475668073136428,0.621081810365096,0.761075949367089,0.259687985787253,0.676778562869473,0.357320171024079,0.470495734829742,0.219159774741648,0.220365428434157,0.632668961433119,0.275072354254817,0.527450134253932,0,0.297203024380377,0.388806865563895,0.370430013565359,0.487930160917521,0.537333914546672,0.430772049070615,0.532080371150333
"S03B",0.666738197608542,0.413765317483444,0.706433265925177,0.356362092492933,0.349695497995683,0.663642373804153,0.626069208683032,0.442744304141221,0.467801750869344,0.609459180264903,0.512294862603765,0.742794217236322,0.619013876530331,0.489233979855512,0.388212981310953,0.558770147262755,0.509004552211074,0.674145158978934,0.759293019629426,0.283557713263091,0.55129964652308,0.198054136912833,0.366381864686721,0.343265875009619,0.358010118282286,0.651410403098046,0.414474998559085,0.495646473092125,0.297203024380377,0,0.434671212300589,0.250980833547723,0.361568440780553,0.555547447546606,0.306926042356584,0.451256715530655
"S04A",0.622194364181484,0.468189136892775,0.654091376826508,0.522138006285217,0.590619469026549,0.786686046511628,0.666615461679746,0.442701800707105,0.561672038914611,0.731002319157102,0.621756406845031,0.843476586412452,0.409356244991899,0.47445804159908,0.399835346034307,0.552179124185828,0.409508357915438,0.651677250174909,0.707703969231918,0.471697218710493,0.64131972957922,0.419639154352506,0.458885385312163,0.480495631394045,0.501344095140226,0.584410805775501,0.572063344201211,0.569670152855994,0.388806865563895,0.434671212300589,0,0.457033369115568,0.44140701840841,0.368384295239864,0.461878421131165,0.431640428246383
"S04B",0.648885346701956,0.397646319994899,0.687339170221549,0.330843900101036,0.360999202652231,0.600410244942892,0.631503991291727,0.426547288593625,0.457852482464046,0.594491678203381,0.527817633633496,0.727535457258555,0.647557180132316,0.447995750902676,0.415726577248283,0.520318747718455,0.535326265614727,0.614487064917349,0.811112775572367,0.310762575818244,0.612465103805928,0.301733790968741,0.396517801951018,0.400776509846023,0.387587514926319,0.720710059171598,0.437976273484675,0.466325981710597,0.370430013565359,0.250980833547723,0.457033369115568,0,0.341812396567383,0.587302703038338,0.288640845185628,0.455935499510256
"S05A",0.683702323382772,0.419059129170125,0.712659738791833,0.453097115742796,0.514034606203867,0.633116647173835,0.633065387489989,0.440040622876861,0.500172527146977,0.579170583301527,0.538345951928228,0.764031474094503,0.654455412384146,0.483195468147668,0.493714273944592,0.546255382546069,0.545228905961484,0.621377991149956,0.797204080961712,0.412766416190315,0.617115375531028,0.360074650397995,0.409974809295004,0.477303525314978,0.530296924690789,0.691784363376703,0.57850099118384,0.388886291812584,0.487930160917521,0.361568440780553,0.44140701840841,0.341812396567383,0,0.510113306717111,0.209743086946847,0.349232295339132
"S05B",0.64542472734556,0.449894537213831,0.606470450748957,0.491966605397546,0.71461107162848,0.727627793550516,0.699341323710673,0.538511995385295,0.658988847627307,0.719125199463847,0.658189437134513,0.817739588790553,0.407352879274714,0.641662488777997,0.497244673665336,0.490149816514423,0.558939304364962,0.624719679194011,0.702158305384788,0.553421963866213,0.643741299951878,0.546038179191156,0.571698002956788,0.586127230580145,0.662766381812904,0.631859763212347,0.713801754877018,0.696000221696719,0.537333914546672,0.555547447546606,0.368384295239864,0.587302703038338,0.510113306717111,0,0.598335224971799,0.363586617946777
"S06A",0.674280518272929,0.420259561382648,0.726322774631811,0.387885027735355,0.458540848768996,0.653446996937643,0.643069331798036,0.430466099793342,0.470675506634497,0.57220676307785,0.522682831274785,0.714593803027558,0.690051880946742,0.49530807436948,0.444588079560372,0.585037363546588,0.569220310828953,0.64109339802639,0.844357976653696,0.381252255151497,0.639892148150206,0.303859148573285,0.452262974712745,0.453181155967564,0.459263873474324,0.674989760393201,0.501615381037215,0.367114416745791,0.430772049070615,0.306926042356584,0.461878421131165,0.288640845185628,0.209743086946847,0.598335224971799,0,0.384491670559858
"S06B",0.701910274597979,0.323028128085991,0.695141028909232,0.396911452773696,0.616991385443821,0.649500929329044,0.616295739728932,0.427571989720601,0.533607066161761,0.631197660524677,0.552179743074985,0.793765305221968,0.646093947907425,0.551982926498696,0.529230902385763,0.431810128404176,0.556195365616762,0.603023162202576,0.780560273386341,0.44522673236442,0.593466691283775,0.437834517090193,0.454496012372385,0.577339550608086,0.590865716955315,0.665470887222218,0.642471426339953,0.508790144051869,0.532080371150333,0.451256715530655,0.431640428246383,0.455935499510256,0.349232295339132,0.363586617946777,0.384491670559858,0
