"Estaciones","Transecto","Sector","Marea","Fito_S","Fito_Simpson","Fito_Shannon","Fito_Pielou","Fito_q0","Fito_q1","Fito_q2","Fito_Densidad","Clorofila","No.Estacion","Ictio_S","Ictio_Simpson","Ictio_Shannon","Ictio_Pielou","Ictio_q0","Ictio_q1","Ictio_q2","Ictio_Densidad","NO2","NO3","PO4","SiO2","pH","OD","Transparencia","SST","TSI_SECCHI","Temperatura_median","Salinidad_median","Oxigeno_median","Densidad_median","Temperatura_IQR","Salinidad_IQR","Oxigeno_IQR","Densidad_IQR","Temperatura_Sup","Salinidad_Sup","Densidad_Sup","latitud","longitud"
"1","A01A","Amarales","Oceanico","Alta",17,0.904858836138033,2.58318707384908,0.911751696803326,17,13.2392655093982,10.510697571987,977,0.85,1,3,0.540007800417645,0.897960942358389,0.817359273713406,3,2.45459294837908,2.17394990808092,3076.7,0.06,0.38,0.13,8.41,8.29,7.73,13,49.85,23,23.0109,34.0329,4.1732,1023.2344,7.66285,2.2866,1.5363,4.1626,27.5963,29.1131,1018.161,2.849301,-78.222562
"2","A01B","Amarales","Oceanico","Baja",39,0.791272874550988,2.41637303136388,0.659569365760953,39,11.2051448155995,4.79094414704754,5383,1.7,1,4,0.538190230157569,0.979806475514401,0.70678097162776,4,2.66394065429682,2.16539377315729,6097.1,0.2,0.66,0.06,24.29,8.25,7.52,4,14.67,40,27.1831,32.5467,5.1191,1020.9157,6.97695,2.4813,1.55245,4.02275,28.7184,28.3532,1017.3105,2.816773,-78.22249
"3","A02A","Amarales","Oceanico","Alta",16,0.907076798269335,2.56317342682123,0.924469397953339,16,12.9769333900882,10.7615749498007,860,0.83,2,2,0.375034062265664,0.562372565297801,0.811332111087143,2,1.75483101634284,1.60008720415269,733.9,0.13,0.7,0.06,11.22,8.26,7.41,8.5,24,29,26.6886,32.6441,4.446,1021.0454,6.2782,2.5423,1.0585,3.8008,27.9126,26.0307,1015.8097,2.784222,-78.222462
"4","A02B","Amarales","Oceanico","Baja",24,0.708395076520705,1.97078088804701,0.620121934130752,24,7.17627817076412,3.42929737971658,5142,1.86,2,4,0.341250797209129,0.68045912181139,0.490847500282476,4,1.97478419062182,1.51802840255954,7839.5,0.27,0.46,0.13,16.76,8.25,7.19,5.5,18.25,35,27.8378,31.9342,5.3894,1020.25195,1.601175,1.23695,1.1687,1.41235,30.0171,26.0718,1015.046,2.751671,-78.222434
"5","A03A","Amarales","Oceanico","Alta",12,0.62631564056134,1.54453893318759,0.621568191835037,12,4.68581065710129,2.67605527162597,1128,0.5,3,5,0.689359490792379,1.33493257532623,0.829440244331817,5,3.79973974156962,3.21915516604963,4903.1,0.49,1.51,0.24,25.38,8.28,7.81,2.5,17.3,47,26.89,32.5875,4.95485,1020.9875,2.3932,1.1618,0.44835,1.7923,26.7658,26.6651,1016.5468,2.71912,-78.222406
"6","A03B","Amarales","Oceanico","Baja",25,0.817175500270416,2.32611996701114,0.722649798740336,25,10.2381400463115,5.46972643972282,3440,1.6,3,5,0.496189516325102,0.98755735032104,0.613603881635587,5,2.68466875147192,1.98487334504394,13770,0.56,1.06,0.23,19.84,8.23,6.48,2,28,50,27.8251,31.595,5.2745,1019.9367,0.3937,2.35585,0.335875,1.79015,26.5634,12.9911,1006.6157,2.686569,-78.222378
"7","A04A","Amarales","Costero","Alta",8,0.799921680313279,1.79058088942503,0.861087389828015,8,5.9929326866963,4.99804277427849,530,0.5,4,3,0.214532871972318,0.443757284260148,0.403925287234983,3,1.55855215457103,1.27312775330396,3228.3,0.15,0.47,0.19,8.32,8.23,7.58,6,23.05,34,27.6652,32.1568,5.17185,1020.3084,0.227,0.3987,0.630625,0.3904,27.0485,29.0194,1018.3309,2.784031,-78.400528
"8","A04B","Amarales","Costero","Baja",27,0.846591459417142,2.51351517157544,0.762633368629883,27,12.3482601125635,6.51854190256043,3707,1.5,4,5,0.462626840470572,0.953341161862207,0.592344168418638,5,2.59436338251086,1.86090425669136,3189.2,0.5,1.06,0.33,17.21,8.2,6.39,2,28.3,50,27.8967,31.5339,5.2179,1019.8541,0.1231,1.6748,0.201075,1.09795,27.2907,30.1194,1019.0881,2.751498,-78.400469
"9","A05A","Amarales","Costero","Alta",16,0.768791664839261,1.93986595901604,0.699658749765439,16,6.95781827532115,4.32510358808989,1208,0.57,5,1,0,0,NA,1,1,1,375.3,0.54,1.13,0.26,19.21,8.16,6.84,1.6,25.85,53,27.66545,30.3409,4.97285,1019.0577,0.497825,3.30835,0.4753,2.16835,26.7885,28.3586,1017.9209,2.718948,-78.400437
"10","A05B","Amarales","Costero","Baja",26,0.79946704361458,2.27464908674966,0.69815275889,26,9.72450595575855,4.98671150131564,3274,3,5,4,0.524995939489378,0.981928747333099,0.708311867141887,4,2.66960026396491,2.1052451613256,3694.3,0.64,1.24,0.37,20.3,8.19,6.31,1.5,35.95,54,27.72615,28.60945,4.88985,1017.68245,0.095225,1.354725,0.079075,1.002875,27.4224,29.5563,1018.581,2.686398,-78.400405
"11","A06A","Amarales","Costero","Alta",29,0.777820177681861,2.03256924664141,0.603620634855112,29,7.63367397652032,4.50085876190909,12372,4.6,6,4,0.366724627278203,0.730173723158952,0.526709004694426,4,2.07544112854687,1.57909188178601,2170.8,0.77,1.17,0.38,25.2,8.14,6.33,1.8,37.75,52,27.7111,29.2132,4.8611,1018.1968,0.2304,1.89125,0.29605,1.37605,26.8459,29.0221,1018.3412,2.653849,-78.400374
"12","A06B","Amarales","Costero","Baja",19,0.728243293893297,1.9553143435228,0.664070254930651,19,7.06613986992794,3.67976199861415,2978,4.73,6,5,0.374270813601651,0.813153724570664,0.505240816243018,5,2.25500845991,1.59813545817788,6182.8,0.92,1,0.2,28.01,8.16,6.16,2,49.9,50,27.7634,25.6498,4.6622,1015.4716,0.1172,0.28785,0.29795,0.11455,27.1291,25.1681,1015.4325,2.621299,-78.400343
"13","G01A","Guascama","Oceanico","Alta",23,0.874696442302996,2.43521736229642,0.776661411118178,23,11.4183003516355,7.98061937250092,2507,0.79,1,6,0.306942963473444,0.725702842847637,0.405022468311716,6,2.06618279154815,1.44288268828749,6471.4,0.05,0.27,0.06,5.41,8.21,8.06,7,20.6,32,22.8021,34.3582,4.6286,1023.716,4.97375,1.41855,1.1415,2.6807,27.5117,26.6972,1016.352,2.832936,-78.319656
"14","G01B","Guascama","Oceanico","Baja",21,0.803445690968503,2.32273198288877,0.762921617561019,21,10.2035120830099,5.08765238944597,1724,1.57,1,9,0.437883004304593,1.08862245139514,0.495453429123262,9,2.97017968621951,1.77898908529332,6523.7,0.11,1,0.13,24.02,8.24,7.6,2.5,27.85,47,21.58365,34.40955,4.2228,1023.75745,9.124625,2.47765,1.760725,4.7626,27.2356,11.8956,1005.5034,2.800405,-78.319592
"15","G02A","Guascama","Oceanico","Alta",26,0.746019880830021,2.18084793278629,0.669362588657558,26,8.85381051293716,3.93731605161875,2238,0.74,2,7,0.391252160283257,0.928825137162125,0.477321698338973,7,2.53153322548291,1.64271630181934,4764.8,0.09,1.03,0.13,14.58,8.22,7.63,3.5,21.85,42,24.8735,25.17615,5.3402,1016.09865,0.282225,0.04445,3.49515,0.13555,24.667,26.2349,1016.8337,2.767854,-78.319562
"16","G02B","Guascama","Oceanico","Baja",32,0.8975811481467,2.80677819116707,0.809864995454406,32,16.5564903509588,9.7638274780931,2788,1.47,2,9,0.648077080214375,1.37335492807415,0.625040763807184,9,3.94857568604186,2.84153132341922,8769.2,0.28,2,0.23,33.27,8.18,7.25,1.2,34.9,57,24.1155,32.7802,4.4226,1021.53855,7.524775,2.4714,1.6841,4.2746,27.9732,16.3038,1008.5972,2.735304,-78.319532
"17","G03A","Guascama","Oceanico","Alta",12,0.81804012345679,2.10650650407287,0.847720579061828,12,8.21947636161867,5.49571707234331,360,0.69,3,8,0.175360612979917,0.464577298957996,0.22341445510543,8,1.59134138503804,1.21265127004617,32115.4,0.13,1.54,0.2,12.58,8.24,7.29,6,27.2,34,24.3478,33.61545,5.0898,1022.4959,5.359475,2.182,0.9366,3.336725,27.2636,29.4739,1018.4902,2.702753,-78.319502
"18","G03B","Guascama","Oceanico","Baja",21,0.893846227249004,2.56418616489616,0.842229353649817,21,12.990082281696,9.42029636898247,1657,0.94,3,10,0.269881795490193,0.711451901300793,0.308979634874511,10,2.03694655808338,1.36964123593027,32842.8,0.23,2.15,0.34,32.55,8.16,6.84,1,37.1,60,26.97145,32.2562,5.0543,1020.55345,4.64745,2.195275,0.84805,3.226425,27.9243,23.9402,1014.189,2.670203,-78.319473
"19","G04A","Guascama","Costero","Alta",29,0.941536553377604,3.06409454706133,0.909957040238319,29,21.4150628744036,17.1047048672791,1422,0.32,4,5,0.157800334638956,0.397659909581885,0.247079993897042,5,1.48833777440984,1.18736689306485,10710.7,0.05,0.36,0.13,3.51,8.18,7.19,1.8,24.1,52,27.9336,31.5692,5.0093,1019.8788,0.1963,0.958,0.2345,0.6969,26.6895,18.8356,1010.8592,2.849301,-78.222562
"20","G04B","Guascama","Costero","Baja",35,0.593004774624531,1.7928195877902,0.504259936519168,35,6.00636408411869,2.45703128108557,6384,1.34,4,7,0.665262877334418,1.38436119848937,0.711420925144691,7,3.99227481889947,2.987418879737,19696.4,0.32,4.09,0.32,78.47,7.95,6.48,0.8,50.38,63,27.4119,18.2258,4.5951,1010.0366,0.0528,0.4586,0.0465,0.34895,27.1688,17.7717,1009.7976,2.816773,-78.22249
"21","G05A","Guascama","Costero","Alta",37,0.924698684067987,3.00752763047205,0.832898366351861,37,20.2373039292894,13.2799804043647,3067,0.73,5,8,0.235803869413132,0.607255511672108,0.29202817174728,8,1.8353872812164,1.30856459484039,19548,0.1,0.7,0.23,11.58,8.16,6.78,0.8,34.95,63,27.8521,30.4999,5.1499,1019.069,0.12105,1.3122,0.037275,0.965,26.9316,22.1402,1013.3003,2.784222,-78.222462
"22","G05B","Guascama","Costero","Baja",25,0.721671730484891,2.03079203868701,0.630901019230887,25,7.62011939862746,3.59287973780801,5106,1.57,5,8,0.367059443978303,0.795420437627368,0.382516373595578,8,2.21537222687108,1.57992719930198,31666.6,0.33,3.98,0.35,71.3,7.96,6.06,0.8,72,63,27.26915,18.87605,4.3413,1010.5609,0.04075,0.849875,0.1191,0.5875,27.4788,19.7624,1011.1397,2.751671,-78.222434
"23","G06A","Guascama","Costero","Alta",30,0.823239757163771,2.46128780422833,0.723653327942262,30,11.7198947558038,5.65738077722895,5686,0.86,6,8,0.833328754578768,1.91089621166031,0.91894682940528,8,6.75914370829075,5.99983516936398,5460.3,0.15,1.15,0.42,16.85,8.14,6.62,0.6,53.53,67,27.6937,29.4891,3.818,1018.3702,0.16855,2.8211,0.19375,2.0804,27.6636,27.8153,1017.1047,2.71912,-78.222406
"24","G06B","Guascama","Costero","Baja",12,0.32886439043867,0.833539115080436,0.335440816318613,12,2.30144943845375,1.49001183330687,7562,1.38,6,8,0.476261206050399,1.10443435839611,0.531120657281816,8,3.01751715274554,1.90934872793904,12051.3,0.37,4.31,0.62,77.47,7.87,5.87,0.6,77,67,26.9536,15.8747,4.3665,1008.4118,0.04025,1.78705,0.28515,1.33835,26.891,12.9757,1006.2509,2.686569,-78.222378
"25","S01A","Sanquianga","Oceanico","Alta",17,0.555412706906347,1.49694230763322,0.528354954551391,17,4.46800637327709,2.2492770610728,1774,1.13,1,3,0.0840243291859005,0.206536165321477,0.187997319392694,3,1.22941219550036,1.09173205344114,12598.1,0.05,0.36,0.11,11.4,8.22,7.66,10.5,16.3,26,20.2242,34.5035,3.8959,1024.4711,9.364175,2.629825,1.7826,4.9496,27.2709,26.5318,1016.3019,2.784031,-78.400528
"26","S01B","Sanquianga","Oceanico","Baja",14,0.856987534626039,2.26006232411204,0.856390006670118,14,9.58368644289941,6.99239746259261,760,0.81,1,5,0.622274310914804,1.20116881306401,0.746328145860172,5,3.32399978749937,2.6474238551841,23298.3,0.06,0.19,0.09,6.86,8.22,7.05,8.5,18.12,29,22.4459,34.0429,4.2061,1023.29515,8.01655,2.36985,1.1788,4.3621,26.9163,0.3501,996.9767,2.751498,-78.400469
"27","S02A","Sanquianga","Oceanico","Alta",11,0.343988394677292,0.914452620744758,0.381356363273356,11,2.49540894290571,1.52436327632966,2147,1.07,2,5,0.278325626816947,0.602766167623396,0.374519677315031,5,1.82716606399237,1.38566649608098,8197.9,0.07,0.6,0.1,10.95,8.21,7.37,5,19.95,37,22.46595,34.1183,4.2819,1023.5528,8.435975,2.495,1.258075,4.6462,27.4268,25.476,1015.4554,2.718948,-78.400437
"28","S02B","Sanquianga","Oceanico","Baja",18,0.779853434917355,2.10837088865473,0.729446266866848,18,8.23481492066172,4.54242835732909,1760,0.84,2,7,0.662195327644558,1.31446665595386,0.675502235594998,7,3.72276494115935,2.96029061121981,11105.5,0.07,0.36,0.06,10.04,8.17,6.93,6,31.3,34,26.38715,32.71595,4.8889,1021.27025,5.716,2.09265,1.0905,3.366525,28.3921,19.4762,1010.6995,2.686398,-78.400405
"29","S03A","Sanquianga","Oceanico","Alta",27,0.530570379370986,1.4735822353098,0.447104118079814,27,4.36484306369087,2.13024478229568,5688,0.75,3,4,0.320995796521628,0.65515515023924,0.472594543131507,4,1.92544122687033,1.47274493276661,6671.5,0.11,0.64,0.19,10.77,8.19,7.04,2.5,27.15,47,24.48155,33.13035,4.7817,1021.93465,8.42025,2.319175,2.03745,4.333675,25.6499,7.195,1002.5278,2.653849,-78.400374
"30","S03B","Sanquianga","Oceanico","Baja",39,0.676329495230758,2.06450550063207,0.563524160379042,39,7.88139958676413,3.08956171558771,9568,1.23,3,6,0.526761005942507,1.12480867547985,0.627767674622336,6,3.07962758427963,2.11309721421332,6428.5,0.45,1.21,0.36,27.28,8.12,6.29,0.9,35.8,62,25.83265,32.7437,4.855,1021.2046,5.873725,2.270325,0.957675,3.48015,25.7451,1.6371,998.3004,2.621299,-78.400343
"31","S04A","Sanquianga","Costero","Alta",39,0.806658876967656,2.34318323384446,0.639591594239968,39,10.4143351185784,5.17220539694864,5650,0.73,4,5,0.687482190490541,1.38626144233157,0.8613326625536,5,3.99986832701399,3.19981764101586,2105.7,0.09,0.87,0.33,12.67,8.16,6.85,2.5,22.6,47,27.9671,32.1819,5.4548,1020.3285,0.1702,0.4451,0.1018,0.3669,26.9841,24.4799,1014.9614,2.832936,-78.319656
"32","S04B","Sanquianga","Costero","Baja",27,0.702632085711285,2.08899444307713,0.633828228764763,27,8.07678940803073,3.36283758922658,5408,2.39,4,5,0.687537144036066,1.38636301863857,0.861395775461663,5,4.00027463950265,3.20038040014402,2019,0.69,2.17,0.35,42.35,8.1,5.91,0.75,42.1,64,27.842,30.9765,5.2259,1019.4704,0.21705,3.5078,1.0069,2.59165,27.6442,26.1703,1015.8712,2.800405,-78.319592
"33","S05A","Sanquianga","Costero","Alta",41,0.803138528668998,2.40019846381677,0.646331462188877,41,11.0253642994032,5.07971414233009,18353,1.14,5,2,0.444444444444444,0.636514168294813,0.918295834054489,2,1.88988157484231,1.8,833.7,0.06,0.53,0.14,9.41,8.12,6.7,2.5,77.75,47,27.9738,32.0131,5.414,1020.1724,0.2506,1.5255,0.3123,1.2243,27.7903,8.4429,1002.6861,2.767854,-78.319562
"34","S05B","Sanquianga","Costero","Baja",42,0.881802554879386,2.68385301985113,0.718055177141034,42,14.6413983524731,8.4604197576314,6766,3.64,5,3,0.560022488097058,0.950301421339448,0.865001630822404,3,2.58648916485868,2.27284343619043,1422.9,0.84,1.49,0.91,45.98,8.04,5.6,1,87.55,60,27.43675,27.29225,4.22185,1016.8149,0.121925,3.62775,0.27515,2.697375,26.4223,4.3041,1000.0697,2.735304,-78.319532
"35","S06A","Sanquianga","Costero","Alta",42,0.7360019784597,2.08188440306719,0.557000648982817,42,8.01956678083503,3.78790717508217,29298,1.57,6,3,0.639988854446153,1.05490085380493,0.960212137335392,3,2.87169042260775,2.77769178079635,1435.7,0.25,2.28,0.25,44.44,8.03,6.12,2.5,160.97,47,28.1894,27.841,4.86785,1017.0021,0.0548,1.22625,0.28555,0.929475,27.64,10.6847,1004.4749,2.702753,-78.319502
"36","S06B","Sanquianga","Costero","Baja",49,0.84011802541002,2.53596597952942,0.651614356593126,49,12.6286239501659,6.25461377096771,14414,4.99,6,7,0.181835603968739,0.471140249329949,0.242118193154332,7,1.6018196260506,1.22224824845812,40587.7,0.73,2.46,0.47,44.98,8.02,5.41,1,188.05,60,27.5272,24.7582,4.4372,1014.8983,0.2335,2.9963,0.5261,2.0892,25.4704,0.4015,997.4123,2.670203,-78.319473
